n_robots,hz,n_runs_total,n_runs_kept,throughput_pub_mean,throughput_pub_std,throughput_alert_mean,throughput_alert_std,broker_avg_ms_mean,broker_avg_ms_std,nebula_avg_ms_mean,nebula_avg_ms_std,e2e_avg_ms_mean,e2e_avg_ms_std,e2e_p95_ms_mean,e2e_p95_ms_std
1.0,10.0,12,10,9.733,0.062,9.733,0.062,1.684,0.047,48.599,8.513,50.266,8.543,90.266,18.449
3.0,1.0,12,10,2.918,0.015,2.918,0.015,2.878,0.333,44.217,5.59,46.894,5.769,92.548,11.991
3.0,10.0,12,10,29.13,0.153,29.13,0.153,1.844,0.072,50.094,8.225,51.938,8.246,96.019,14.268
3.0,20.0,12,10,58.08,0.195,58.08,0.195,1.55,0.05,55.452,2.932,57.0,2.925,99.428,5.472
3.0,40.0,12,10,115.567,0.205,115.567,0.205,1.47,0.036,55.88,0.347,57.349,0.33,102.63,0.51
3.0,60.0,12,10,173.005,0.729,173.005,0.729,1.455,0.041,56.43,0.251,57.881,0.243,103.102,0.331
3.0,80.0,12,10,229.774,1.199,229.774,1.199,1.446,0.029,56.545,0.142,57.988,0.153,103.33,0.231
3.0,100.0,12,10,286.506,1.515,286.506,1.515,1.424,0.047,56.757,0.19,58.178,0.196,103.451,0.218
10.0,10.0,12,10,96.962,0.409,96.962,0.409,3.075,0.294,55.004,7.649,58.059,7.548,103.629,8.237
20.0,10.0,12,10,194.035,0.815,194.035,0.815,5.426,0.18,55.791,8.386,61.028,8.37,104.28,8.912
30.0,10.0,12,10,291.021,1.114,291.021,1.114,6.764,0.578,51.223,3.869,57.892,3.961,102.52,13.409
40.0,10.0,12,10,388.432,1.56,388.432,1.56,7.8,0.299,53.659,4.546,61.253,4.479,112.015,6.475
50.0,10.0,12,10,484.865,1.526,484.865,1.526,9.023,0.317,55.019,8.857,63.722,8.924,114.672,2.46
