timestamp,n_robots,hz,duration_s,published,throughput_pub,alerts,throughput_alert,influx_records,throughput_influx,broker_avg_ms,broker_p95_ms,nebula_avg_ms,nebula_p95_ms,telegraf_est_ms,e2e_avg_ms,e2e_p95_ms
2026-06-21 12:38:59,1,10.0,61.91,599,9.68,599,9.68,599,9.68,1.58,2.75,65.97,99.7,-0.13,67.55,101.28
2026-06-21 12:40:26,1,10.0,61.86,599,9.68,599,9.68,599,9.68,1.68,2.83,44.38,99.9,-0.08,46.05,101.57
2026-06-21 12:41:52,1,10.0,61.74,599,9.7,599,9.7,599,9.7,1.73,2.93,55.83,104.13,-0.24,57.56,105.86
2026-06-21 12:43:18,1,10.0,61.87,599,9.68,599,9.68,599,9.68,1.7,2.85,37.56,64.58,-0.15,39.26,66.28
2026-06-21 12:44:44,1,10.0,61.01,599,9.82,599,9.82,599,9.82,1.63,2.89,41.28,104.28,-0.12,42.84,105.91
2026-06-21 12:46:10,1,10.0,61.89,599,9.68,599,9.68,599,9.68,1.73,2.94,55.08,105.81,-0.07,56.72,107.54
2026-06-21 12:47:37,1,10.0,61.76,599,9.7,599,9.7,599,9.7,1.69,2.96,56.69,102.66,-0.23,58.38,104.35
2026-06-21 12:49:03,1,10.0,61.36,599,9.76,599,9.76,599,9.76,1.6,2.84,37.9,58.98,-0.07,39.5,60.59
2026-06-21 12:50:29,1,10.0,60.91,599,9.83,599,9.83,599,9.83,1.76,2.99,61.0,102.9,-0.02,62.76,104.66
2026-06-21 12:51:57,1,10.0,61.96,599,9.67,599,9.67,599,9.67,1.65,2.94,55.31,75.06,-0.23,56.96,76.71
2026-06-21 12:53:23,1,10.0,61.04,599,9.81,599,9.81,599,9.81,1.67,2.78,40.96,67.51,-0.09,42.63,69.19
2026-06-21 12:54:51,1,10.0,61.87,599,9.68,599,9.68,599,9.68,1.61,2.81,80.02,107.11,-0.3,81.62,108.72
2026-06-21 12:56:17,3,10.0,61.93,1797,29.02,1797,29.02,1797,29.02,1.87,3.48,46.82,105.45,-0.71,48.68,107.32
2026-06-21 12:57:43,3,10.0,60.98,1797,29.47,1797,29.47,1797,29.47,1.79,3.39,70.13,95.04,-0.11,71.93,96.84
2026-06-21 12:59:11,3,10.0,61.85,1797,29.06,1797,29.06,1797,29.06,1.78,3.36,38.64,100.24,-0.14,40.42,102.02
2026-06-21 13:00:37,3,10.0,61.92,1797,29.02,1797,29.02,1797,29.02,1.85,3.48,58.79,104.74,-0.3,60.64,106.59
2026-06-21 13:02:03,3,10.0,61.1,1797,29.41,1797,29.41,1797,29.41,1.89,3.49,41.64,61.36,-0.13,43.53,63.25
2026-06-21 13:03:29,3,10.0,61.89,1797,29.04,1797,29.04,1797,29.04,2.03,3.69,57.48,101.78,-0.15,59.51,103.81
2026-06-21 13:04:56,3,10.0,61.15,1797,29.39,1797,29.39,1797,29.39,1.77,3.35,43.94,82.06,-0.14,45.71,83.83
2026-06-21 13:06:23,3,10.0,61.91,1797,29.03,1797,29.03,1797,29.03,1.81,3.51,67.02,104.59,-0.1,68.83,106.39
2026-06-21 13:07:51,3,10.0,61.86,1797,29.05,1797,29.05,1797,29.05,1.85,3.38,70.47,101.0,-0.18,72.32,102.84
2026-06-21 13:09:18,3,10.0,61.9,1797,29.03,1797,29.03,1797,29.03,1.83,3.39,49.75,78.21,-0.09,51.58,80.04
2026-06-21 13:10:45,3,10.0,61.39,1797,29.27,1797,29.27,1797,29.27,1.8,3.39,47.22,100.4,-0.38,49.02,102.2
2026-06-21 13:12:11,3,10.0,61.9,1797,29.03,1797,29.03,1797,29.03,1.81,3.4,49.64,102.93,-0.1,51.46,104.74
2026-06-21 13:13:38,10,10.0,61.87,5990,96.82,5990,96.82,5990,96.82,3.11,7.22,62.99,105.3,-0.21,66.03,108.41
2026-06-21 13:15:04,10,10.0,61.18,5990,97.91,5990,97.91,5990,97.91,2.26,5.0,63.5,106.67,-0.14,65.76,108.94
2026-06-21 13:16:32,10,10.0,61.91,5990,96.76,5990,96.76,5990,96.76,3.15,6.54,53.51,99.57,-0.17,56.62,102.72
2026-06-21 13:17:57,10,10.0,61.72,5990,97.04,5990,97.04,5990,97.04,3.24,6.52,72.98,96.2,-0.16,76.23,99.44
2026-06-21 13:19:24,10,10.0,61.93,5990,96.72,5990,96.72,5990,96.72,3.18,7.13,52.86,102.66,-0.27,56.04,105.84
2026-06-21 13:20:51,10,10.0,61.96,5990,96.67,5990,96.67,5990,96.67,3.3,6.89,49.36,100.02,-0.13,52.66,103.32
2026-06-21 13:22:17,10,10.0,61.9,5990,96.77,5990,96.77,5990,96.77,3.37,7.64,53.4,105.52,-0.04,56.7,108.89
2026-06-21 13:23:44,10,10.0,61.92,5990,96.73,5990,96.73,5990,96.73,3.0,6.53,61.89,102.61,-0.32,64.9,105.61
2026-06-21 13:25:10,10,10.0,61.87,5990,96.81,5990,96.81,5990,96.81,3.2,6.65,46.46,104.29,-0.2,49.63,107.49
2026-06-21 13:26:36,10,10.0,61.36,5990,97.62,5990,97.62,5990,97.62,3.19,6.58,64.86,102.17,-0.15,68.05,105.36
2026-06-21 13:28:02,10,10.0,61.95,5990,96.69,5990,96.69,5990,96.69,3.09,6.54,65.56,101.05,-0.07,68.65,104.14
2026-06-21 13:29:27,10,10.0,61.87,5990,96.81,5990,96.81,5990,96.81,2.99,6.16,41.21,76.72,-0.07,44.2,79.71
2026-06-21 13:30:54,20,10.0,61.77,11980,193.93,11980,193.93,11980,193.93,5.36,12.15,64.25,88.27,-0.24,69.61,93.62
2026-06-21 13:32:20,20,10.0,61.86,11960,193.34,11960,193.34,11960,193.34,5.56,12.05,58.54,92.08,-0.13,64.08,97.64
2026-06-21 13:33:46,20,10.0,61.47,11980,194.89,11980,194.89,11980,194.89,5.05,11.98,62.19,98.04,-0.08,67.24,103.09
2026-06-21 13:35:13,20,10.0,61.93,11980,193.43,11980,193.43,11980,193.43,5.56,12.41,56.24,104.2,-0.16,61.47,109.71
2026-06-21 13:36:39,20,10.0,61.87,11980,193.63,11980,193.63,11980,193.63,5.59,12.42,50.52,79.11,-0.1,56.11,84.69
2026-06-21 13:38:05,20,10.0,61.8,11980,193.84,11980,193.84,11980,193.84,5.41,12.33,62.01,104.12,-0.06,66.49,109.47
2026-06-21 13:39:33,20,10.0,61.87,11980,193.64,11980,193.64,11980,193.64,5.44,12.55,64.69,105.35,-0.08,70.11,110.79
2026-06-21 13:40:59,20,10.0,61.94,11980,193.42,11980,193.42,11980,193.42,5.48,12.57,53.73,104.56,-0.11,58.91,109.98
2026-06-21 13:42:25,20,10.0,61.09,11980,196.11,11980,196.11,11980,196.11,5.17,12.29,35.83,105.42,-0.05,40.88,110.55
2026-06-21 13:43:53,20,10.0,61.92,11980,193.47,11980,193.47,11980,193.47,5.73,12.72,69.01,100.53,-0.33,74.4,106.25
2026-06-21 13:45:18,20,10.0,61.72,11980,194.11,11980,194.11,11980,194.11,5.2,11.77,66.64,89.49,-0.28,71.84,94.69
2026-06-21 13:46:45,20,10.0,61.71,11980,194.12,11980,194.12,11980,194.12,5.64,12.64,49.91,107.64,-0.07,55.38,113.26
